ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
23,hfc,128,64,0.02,-40,3,,0.2524,0.3534,0.4691,0.4031,,0.3873,0.4361,0.6046,0.5065,,0.3996,0.4443,0.6103,0.5074,,0.2478,0.3436,0.4707,,0.2612,0.3569,0.4933,,0.2478,0.3597,0.4435,,1.31,3.05,4.84,0.9294,3.0843,0.7097,0.5437,0.6799,1.6913,4.5299,0.9442,,./results/res_hfc_128_64_-40.0_3.0_0.02.log
24,hfc,128,64,0.02,-40,2,,0.2477,0.3042,0.5715,0.3971,,0.3571,0.3868,0.6829,0.4934,,0.3751,0.4024,0.6967,0.4983,,0.2178,0.2720,0.5222,,0.2238,0.2749,0.5467,,0.3082,0.3718,0.6430,,1.85,3.83,5.82,0.9157,3.8157,0.9410,1.1041,0.9678,1.9522,5.7160,0.9484,,./results/res_hfc_128_64_-40.0_2.0_0.02.log
25,hfc,128,64,0.02,-40,1,,0.2076,0.2218,0.7643,0.3438,,0.2556,0.2645,0.8240,0.3990,,0.2736,0.2819,0.8095,0.4064,,0.1730,0.1865,0.7049,,0.2036,0.2156,0.7844,,0.2549,0.2722,0.8004,,2.02,4.70,7.21,0.9143,4.4698,0.9340,1.9159,1.2439,2.5841,6.3201,0.9184,,./results/res_hfc_128_64_-40.0_1.0_0.02.log
26,hfc,128,64,0.02,-15,3,,0.3245,0.5136,0.4684,0.4900,,0.4770,0.5728,0.6033,0.5843,,0.4839,0.5777,0.6091,0.5849,,0.3273,0.5208,0.4684,,0.3374,0.5163,0.4933,,0.3086,0.5038,0.4435,,1.31,3.05,4.84,0.9293,3.0865,0.7096,0.5390,0.6776,1.6934,4.5319,0.9441,,./results/res_hfc_128_64_-15.0_3.0_0.02.log
27,hfc,128,64,0.02,-15,3.5,,0.3156,0.5439,0.4292,0.4798,,0.4618,0.5833,0.5661,0.5678,,0.4739,0.5962,0.5715,0.5715,,0.3351,0.5719,0.4473,,0.3350,0.5520,0.4600,,0.2783,0.5074,0.3814,,0.81,2.35,3.84,0.9263,2.4007,0.6331,0.3988,0.5793,1.1526,3.6848,0.9617,,./results/res_hfc_128_64_-15.0_3.5_0.02.log
28,hfc,256,64,0.02,-40,3,,0.2802,0.4069,0.4736,0.4377,,0.4324,0.4893,0.6127,0.5435,,0.4374,0.4912,0.6185,0.5417,,0.2745,0.3953,0.4731,,0.2874,0.4093,0.4911,,0.2784,0.4162,0.4568,,2.08,3.55,5.10,0.8935,3.6063,0.7423,0.6492,0.7503,2.1477,5.1168,0.9435,,./results/res_hfc_256_64_-40.0_3.0_0.02.log
29,hfc,256,64,0.02,-30,3,,0.3083,0.4674,0.4752,0.4712,,0.4695,0.5425,0.6138,0.5744,,0.4728,0.5420,0.6194,0.5723,,0.3071,0.4645,0.4754,,0.3194,0.4754,0.4933,,0.2981,0.4619,0.4568,,2.08,3.56,5.10,0.8922,3.6098,0.7403,0.6427,0.7461,2.1533,5.1144,0.9464,,./results/res_hfc_256_64_-30.0_3.0_0.02.log
30,hfc,256,64,0.02,-20,3,,0.3367,0.5323,0.4782,0.5038,,0.5066,0.5988,0.6160,0.6043,,0.5094,0.5997,0.6211,0.6029,,0.3418,0.5486,0.4754,,0.3462,0.5321,0.4978,,0.3225,0.5174,0.4612,,2.08,3.56,5.10,0.8929,3.6076,0.7476,0.6402,0.7446,2.1373,5.1277,0.9490,,./results/res_hfc_256_64_-20.0_3.0_0.02.log
31,hfc,256,64,0.02,-15,3,,0.3537,0.5793,0.4759,0.5225,,0.5243,0.6338,0.6136,0.6186,,0.5278,0.6357,0.6190,0.6182,,0.3577,0.5982,0.4707,,0.3651,0.5842,0.4933,,0.3387,0.5573,0.4634,,2.08,3.55,5.10,0.8940,3.6021,0.7559,0.6472,0.7491,2.1165,5.1401,0.9461,,./results/res_hfc_256_64_-15.0_3.0_0.02.log
32,hfc,256,64,0.02,-15,3.5,,0.3345,0.6133,0.4239,0.5013,,0.4992,0.6392,0.5672,0.5905,,0.5042,0.6540,0.5678,0.5890,,0.3608,0.6667,0.4403,,0.3505,0.6071,0.4533,,0.2948,0.5700,0.3792,,1.33,2.74,4.13,0.9041,2.8048,0.6597,0.4548,0.6205,1.4996,4.1382,0.9464,,./results/res_hfc_256_64_-15.0_3.5_0.02.log
33,hfc,256,64,0.02,-20,3.6,,0.3202,0.5930,0.4104,0.4851,,0.4734,0.6174,0.5505,0.5716,,0.4792,0.6265,0.5490,0.5664,,0.3467,0.6500,0.4262,,0.3454,0.6036,0.4467,,0.2723,0.5294,0.3592,,0.93,2.37,3.74,0.8972,2.4388,0.6420,0.4130,0.5947,1.1665,3.7345,0.9506,,./results/res_hfc_256_64_-20.0_3.6_0.02.log
34,hfc,256,64,0.02,-5,1,,0.4566,0.5058,0.8245,0.6270,,0.4883,0.5223,0.8707,0.6526,,0.5193,0.5591,0.8591,0.6662,,0.4276,0.5065,0.7330,,0.4536,0.4869,0.8689,,0.4863,0.5255,0.8670,,2.73,5.55,8.30,0.9251,5.3038,0.9315,1.7987,1.2195,3.4414,7.1674,0.9064,,./results/res_hfc_256_64_-5.0_1.0_0.02.log
35,hfc,256,64,0.02,-5,2,,0.4587,0.7231,0.5565,0.6289,,0.5791,0.7432,0.6714,0.6938,,0.6034,0.7620,0.6918,0.7111,,0.4052,0.7329,0.4754,,0.4527,0.7135,0.5533,,0.5125,0.7247,0.6364,,2.73,4.38,6.18,0.8877,4.3808,0.8621,1.0147,0.9098,2.7201,6.1683,0.9296,,./results/res_hfc_256_64_-5.0_2.0_0.02.log
36,hfc,256,64,0.02,-5,2.5,,0.4287,0.7716,0.4910,0.6001,,0.5643,0.7746,0.6209,0.6671,,0.5854,0.7980,0.6408,0.6849,,0.3830,0.7676,0.4333,,0.4344,0.7679,0.5000,,0.4654,0.7781,0.5366,,2.45,4.01,5.69,0.9003,4.0500,0.7970,0.7484,0.7887,2.4972,5.6850,0.9457,,./results/res_hfc_256_64_-5.0_2.5_0.02.log
37,hfc,256,64,0.02,-7,1.5,,0.4373,0.5687,0.6544,0.6085,,0.5432,0.6206,0.7465,0.6771,,0.5628,0.6374,0.7617,0.6865,,0.4226,0.6005,0.5878,,0.4008,0.5132,0.6467,,0.4903,0.6022,0.7251,,2.76,4.86,7.07,0.8849,4.7679,0.9697,1.4391,1.1037,2.8774,6.7561,0.9128,,./results/res_hfc_256_64_-7.0_1.5_0.02.log
38,hfc,256,64,0.02,-7,1.8,,0.4338,0.6164,0.5941,0.6051,,0.5502,0.6584,0.7005,0.6752,,0.5717,0.6722,0.7206,0.6880,,0.4143,0.6356,0.5433,,0.4100,0.5809,0.5822,,0.4758,0.6358,0.6541,,2.87,4.57,6.40,0.8771,4.5343,0.9214,1.3814,1.0695,2.7331,6.4186,0.9153,,./results/res_hfc_256_64_-7.0_1.8_0.02.log
39,hfc,512,64,0.02,-5,2,,0.4593,0.8129,0.5136,0.6294,,0.6140,0.8208,0.6441,0.7017,,0.6297,0.8331,0.6618,0.7161,,0.4295,0.8534,0.4637,,0.4436,0.8029,0.4978,,0.5010,0.7927,0.5765,,3.46,5.06,6.80,0.8871,5.0838,0.8289,0.9781,0.9099,3.5105,6.8260,0.9155,,./results/res_hfc_512_64_-5.0_2.0_0.02.log
40,hfc,512,64,0.02,-8,2,,0.4278,0.7077,0.5196,0.5992,,0.5906,0.7411,0.6485,0.6822,,0.6031,0.7536,0.6653,0.6939,,0.4138,0.7556,0.4778,,0.4025,0.6657,0.5044,,0.4658,0.7115,0.5743,,3.46,5.04,6.80,0.8826,5.0647,0.8147,1.0592,0.9392,3.5319,6.7908,0.9110,,./results/res_hfc_512_64_-8.0_2.0_0.02.log
41,hfc,512,64,0.02,-7,2.2,,0.4215,0.7435,0.4932,0.5930,,0.5880,0.7613,0.6289,0.6737,,0.6018,0.7864,0.6430,0.6873,,0.4313,0.8160,0.4778,,0.4100,0.7129,0.4911,,0.4244,0.7165,0.5100,,3.50,4.84,6.40,0.8763,4.8751,0.7293,0.8850,0.8658,3.4675,6.3849,0.9103,,./results/res_hfc_512_64_-7.0_2.2_0.02.log
42,hfc,512,64,0.02,-7,3,,0.3916,0.7744,0.4420,0.5628,,0.5581,0.7647,0.5879,0.6388,,0.5557,0.7773,0.5855,0.6326,,0.4065,0.8326,0.4426,,0.4110,0.7749,0.4667,,0.3595,0.7231,0.4169,,2.43,3.92,5.47,0.8978,4.0093,0.7319,0.5749,0.6900,2.5464,5.4742,0.9687,,./results/res_hfc_512_64_-7.0_3.0_0.02.log
43,hfc,512,64,0.02,-4,2,,0.4561,0.8365,0.5008,0.6265,,0.6083,0.8401,0.6300,0.6974,,0.6239,0.8487,0.6472,0.7120,,0.3969,0.8619,0.4239,,0.4562,0.8453,0.4978,,0.5088,0.8125,0.5765,,3.46,5.05,6.80,0.8872,5.0858,0.8273,0.9809,0.9088,3.5143,6.8233,0.9224,,./results/res_hfc_512_64_-4.0_2.0_0.02.log
44,hfc,512,64,0.02,-4,1.8,,0.4708,0.8262,0.5226,0.6402,,0.6160,0.8368,0.6450,0.7101,,0.6332,0.8402,0.6652,0.7248,,0.4152,0.8527,0.4473,,0.4511,0.8159,0.5022,,0.5400,0.8171,0.6142,,3.73,5.26,7.05,0.8890,5.2769,0.8352,0.9999,0.9280,3.6748,7.0157,0.9174,,./results/res_hfc_512_64_-4.0_1.8_0.02.log
45,hfc,512,64,0.02,-20,3,,0.3516,0.6189,0.4488,0.5203,,0.5376,0.6609,0.5942,0.6179,,0.5350,0.6631,0.5910,0.6111,,0.3760,0.6855,0.4543,,0.3629,0.6086,0.4733,,0.3193,0.5727,0.4191,,2.39,3.93,5.47,0.8977,4.0111,0.7268,0.5786,0.6914,2.5579,5.4649,0.9682,,./results/res_hfc_512_64_-20.0_3.0_0.02.log
46,hfc,1024,64,0.02,-20,3,,0.3471,0.6881,0.4119,0.5153,,0.5392,0.6877,0.5684,0.6052,,0.5382,0.6968,0.5673,0.6014,,0.3704,0.7531,0.4215,,0.3686,0.7117,0.4333,,0.3066,0.6099,0.3814,,2.61,4.16,5.76,0.8940,4.2852,0.6878,0.5634,0.6577,2.9187,5.6700,0.9609,,./results/res_hfc_1024_64_-20.0_3.0_0.02.log
47,hfc,1024,64,0.02,-5,2,,0.4195,0.8491,0.4533,0.5911,,0.5815,0.8318,0.5988,0.6603,,0.5899,0.8490,0.6076,0.6688,,0.4161,0.9029,0.4356,,0.4318,0.8601,0.4644,,0.4107,0.7962,0.4590,,4.02,5.57,7.21,0.8904,5.6675,0.7512,0.7104,0.7857,4.1588,7.1638,0.9414,,./results/res_hfc_1024_64_-5.0_2.0_0.02.log
48,hfc,1024,64,0.02,-5,1.8,,0.4225,0.8257,0.4639,0.5940,,0.5845,0.8150,0.6071,0.6654,,0.5938,0.8293,0.6175,0.6748,,0.4159,0.8826,0.4403,,0.4358,0.8392,0.4756,,0.4155,0.7698,0.4745,,4.27,5.82,7.47,0.8847,5.8988,0.7790,0.8064,0.8352,4.3517,7.4675,0.9266,,./results/res_hfc_1024_64_-5.0_1.8_0.02.log
49,hfc,2048,64,0.02,-20,3,,0.3274,0.7262,0.3735,0.4933,,0.5190,0.6822,0.5381,0.5757,,0.5194,0.6891,0.5389,0.5738,,0.3326,0.7670,0.3700,,0.3485,0.7619,0.3911,,0.3028,0.6585,0.3592,,2.85,4.28,5.77,0.8851,4.4813,0.7254,0.5587,0.6392,3.0133,5.9148,0.9640,,./results/res_hfc_2048_64_-20.0_3.0_0.02.log
50,hfc,2048,64,0.02,-10,2,,0.3655,0.7776,0.4081,0.5353,,0.5464,0.7441,0.5671,0.6116,,0.5517,0.7666,0.5730,0.6169,,0.3761,0.8398,0.4052,,0.3857,0.7854,0.4311,,0.3365,0.7172,0.3880,,4.29,5.85,7.47,0.8745,6.0139,0.7209,0.7901,0.7953,4.5656,7.4492,0.9357,,./results/res_hfc_2048_64_-10.0_2.0_0.02.log
51,hfc,2048,64,0.02,-5,2,,0.3754,0.8567,0.4006,0.5459,,0.5483,0.8101,0.5596,0.6135,,0.5547,0.8396,0.5662,0.6209,,0.3708,0.9016,0.3864,,0.4051,0.8889,0.4267,,0.3514,0.7883,0.3880,,4.29,5.86,7.42,0.8778,6.0332,0.7212,0.7022,0.7599,4.5730,7.4576,0.9407,,./results/res_hfc_2048_64_-5.0_2.0_0.02.log
52,hfc,2048,64,0.02,-5,1,,0.4400,0.8305,0.4834,0.6111,,0.5995,0.8286,0.6197,0.6835,,0.6112,0.8489,0.6303,0.6950,,0.4084,0.8768,0.4333,,0.4465,0.8308,0.4911,,0.4618,0.7973,0.5233,,4.61,8.11,11.56,0.8941,8.1940,1.8008,4.1991,1.8607,4.7339,11.9372,0.9194,,./results/res_hfc_2048_64_-5.0_1.0_0.02.log
53,hfc,2048,64,0.02,-5,0.3,,0.6780,0.8223,0.7944,0.8081,,0.7639,0.8641,0.8441,0.8539,,0.7764,0.8781,0.8500,0.8628,,0.5937,0.8545,0.6604,,0.6398,0.7677,0.7933,,0.7954,0.8525,0.9224,,8.60,12.45,17.53,0.9555,12.1704,1.8849,5.2028,2.0527,8.6218,16.1613,0.9259,,./results/res_hfc_2048_64_-5.0_0.3_0.02.log
54,hfc,2048,64,0.02,-5,0.1,,0.6964,0.7512,0.9051,0.8210,,0.7726,0.8159,0.9235,0.8636,,0.7810,0.8301,0.9185,0.8689,,0.6629,0.7719,0.8244,,0.6656,0.7145,0.9067,,0.7595,0.7714,0.9800,,7.27,13.42,19.85,0.9576,13.0123,2.3506,6.8661,2.3463,8.5865,17.9889,0.9295,,./results/res_hfc_2048_64_-5.0_0.1_0.02.log
55,energy,64,64,0.02,-5,2,,0.4133,0.6831,0.5113,0.5848,,0.5510,0.7066,0.6376,0.6588,,0.5587,0.7160,0.6471,0.6638,,0.3902,0.6624,0.4871,,0.4569,0.7439,0.5422,,0.3941,0.6449,0.5033,,2.45,3.89,5.37,0.8807,3.8771,0.7525,0.9817,0.8681,2.4001,5.4102,0.9255,,./results/res_energy_64_64_-5.0_2.0_0.02.log
56,energy,64,64,0.02,-8,2.5,,0.3569,0.5391,0.5136,0.5260,,0.5009,0.5960,0.6406,0.6144,,0.5001,0.5879,0.6469,0.6058,,0.3519,0.5388,0.5035,,0.3746,0.5525,0.5378,,0.3440,0.5257,0.4989,,2.04,3.59,5.23,0.8944,3.5623,0.7568,0.7539,0.8017,2.1034,5.1305,0.9323,,./results/res_energy_64_64_-8.0_2.5_0.02.log
57,energy,64,64,0.02,-4,1.8,,0.4262,0.7378,0.5023,0.5977,,0.5585,0.7493,0.6276,0.6663,,0.5724,0.7702,0.6409,0.6790,,0.3752,0.6996,0.4473,,0.4765,0.8020,0.5400,,0.4267,0.7104,0.5166,,2.54,4.02,5.50,0.8861,4.0092,0.7556,1.2811,0.9548,2.5145,5.5368,0.9309,,./results/res_energy_64_64_-4.0_1.8_0.02.log
58,energy,64,64,0.02,-3,1.5,,0.4280,0.7887,0.4834,0.5994,,0.5490,0.7955,0.5986,0.6641,,0.5625,0.8110,0.6122,0.6765,,0.3436,0.7389,0.3911,,0.4756,0.8478,0.5200,,0.4617,0.7724,0.5344,,2.65,4.16,5.68,0.9003,4.1726,0.7076,1.2603,0.9481,2.7790,5.6093,0.9191,,./results/res_energy_64_64_-3.0_1.5_0.02.log
59,energy,64,64,0.02,-4,1,,0.4390,0.6081,0.6122,0.6101,,0.5452,0.6489,0.7121,0.6761,,0.5587,0.6555,0.7262,0.6842,,0.4127,0.5763,0.5925,,0.4593,0.6323,0.6267,,0.4448,0.6150,0.6164,,2.78,4.54,6.20,0.8770,4.5154,0.8292,1.9807,1.1771,2.8544,6.1713,0.9126,,./results/res_energy_64_64_-4.0_1.0_0.02.log
