ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
23,hfc,64,64,0.02,-25,1.35,,0.7726,0.8814,0.8622,0.8717,,0.8082,0.9124,0.8730,0.8918,,0.8023,0.9127,0.8696,0.8861,,0.6829,0.8753,0.7564,,0.7397,0.8610,0.8400,,0.8916,0.9043,0.9845,,2.20,4.65,6.91,0.9432,4.6966,1.1732,1.6364,1.1722,2.2204,6.9132,0.9560,,./results/res_hfc_64_64_-25.0_1.35_0.02.log
24,hfc,64,64,0.02,-28,1.35,,0.7424,0.8251,0.8810,0.8521,,0.7942,0.8682,0.8964,0.8811,,0.8003,0.8808,0.8980,0.8839,,0.6733,0.8134,0.7963,,0.7198,0.8037,0.8733,,0.8324,0.8552,0.9690,,2.20,4.71,6.96,0.9393,4.7514,1.1893,2.0893,1.3145,2.2002,6.9576,0.9508,,./results/res_hfc_64_64_-28.0_1.35_0.02.log
25,hfc,128,64,0.02,-30,0.75,,0.4931,0.5177,0.9119,0.6605,,0.6120,0.6414,0.9220,0.7412,,0.6330,0.6672,0.9168,0.7537,,0.4874,0.5287,0.8618,,0.4329,0.4504,0.9178,,0.5756,0.5923,0.9534,,2.94,5.47,7.67,0.9224,5.5096,1.3814,2.3297,1.4005,2.5574,8.0829,0.9416,,./results/res_hfc_128_64_-30.0_0.75_0.02.log
26,hfc,128,64,0.02,-25,0.75,,0.5920,0.6454,0.8773,0.7437,,0.6709,0.7374,0.8817,0.7942,,0.6772,0.7515,0.8774,0.7962,,0.5672,0.6826,0.7705,,0.5273,0.5681,0.8800,,0.6907,0.7029,0.9756,,2.94,5.39,7.56,0.9339,5.4396,1.3684,1.9396,1.2529,2.5576,8.0314,0.9567,,./results/res_hfc_128_64_-25.0_0.75_0.02.log
27,hfc,128,64,0.02,-35,1,,0.5000,0.5227,0.9202,0.6667,,0.6279,0.6528,0.9315,0.7514,,0.6560,0.6848,0.9288,0.7695,,0.4904,0.5182,0.9016,,0.4378,0.4563,0.9156,,0.5919,0.6142,0.9424,,3.01,5.35,7.54,0.9198,5.3504,1.3349,2.1626,1.3242,2.5061,7.8459,0.9404,,./results/res_hfc_128_64_-35.0_1.0_0.02.log
28,hfc,128,64,0.02,-35,2,,0.7738,0.8363,0.9119,0.8725,,0.8206,0.8763,0.9235,0.8982,,0.8279,0.8870,0.9231,0.9018,,0.7436,0.8190,0.8899,,0.7331,0.8052,0.8911,,0.8481,0.8848,0.9534,,2.38,4.70,6.73,0.9290,4.7217,1.1833,1.7175,1.1705,2.2136,6.9468,0.9478,,./results/res_hfc_128_64_-35.0_2.0_0.02.log
29,hfc,128,64,0.02,-35,2.3,,0.8011,0.8788,0.9006,0.8896,,0.8417,0.9089,0.9146,0.9114,,0.8465,0.9134,0.9173,0.9139,,0.7598,0.8605,0.8665,,0.7688,0.8526,0.8867,,0.8768,0.9222,0.9468,,2.18,4.54,6.50,0.9281,4.5519,1.1316,1.6817,1.1266,2.1345,6.6610,0.9503,,./results/res_hfc_128_64_-35.0_2.3_0.02.log
30,hfc,128,64,0.02,-35,2.25,,0.7989,0.8734,0.9036,0.8882,,0.8396,0.9046,0.9168,0.9102,,0.8447,0.9098,0.9190,0.9129,,0.7612,0.8555,0.8735,,0.7629,0.8453,0.8867,,0.8753,0.9185,0.9490,,2.22,4.56,6.55,0.9308,4.5827,1.1485,1.6207,1.1186,2.1332,6.7272,0.9517,,./results/res_hfc_128_64_-35.0_2.25_0.02.log
31,hfc,128,64,0.02,-35,2.4,,0.8093,0.8946,0.8946,0.8946,,0.8483,0.9210,0.9103,0.9155,,0.8526,0.9234,0.9138,0.9175,,0.7531,0.8612,0.8571,,0.7944,0.8864,0.8844,,0.8815,0.9339,0.9401,,2.10,4.48,6.44,0.9301,4.4841,1.0872,1.6664,1.1195,2.1444,6.4931,0.9490,,./results/res_hfc_128_64_-35.0_2.4_0.02.log
32,hfc,128,64,0.02,-35,2.5,,0.8134,0.9012,0.8931,0.8971,,0.8517,0.9254,0.9100,0.9175,,0.8593,0.9294,0.9153,0.9215,,0.7557,0.8670,0.8548,,0.7992,0.8924,0.8844,,0.8868,0.9421,0.9379,,1.99,4.41,6.36,0.9300,4.4140,1.0802,1.6534,1.1133,2.0919,6.4129,0.9475,,./results/res_hfc_128_64_-35.0_2.5_0.02.log
