ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
25,mkl,256,64,0.02,-49,0.8,,0.6861,0.7403,0.9036,0.8138,,0.7585,0.8149,0.9119,0.8555,,0.7591,0.8225,0.9056,0.8551,,0.6454,0.7265,0.8525,,0.6426,0.6974,0.8911,,0.7754,0.7982,0.9645,,3.93,6.23,8.15,0.9325,,,,,,,,,./results/res_mkl_256_64_-49.0_0.8_0.02.log
26,mkl,256,64,0.02,-50,1.1,,0.6779,0.7579,0.8652,0.808,,0.7444,0.8264,0.8766,0.847,,0.7406,0.8305,0.8668,0.8428,,0.5905,0.7291,0.7564,,0.6358,0.7032,0.8689,,0.8161,0.8414,0.9645,,4.02,5.91,7.78,0.9417,,,,,,,,,./results/res_mkl_256_64_-50.0_1.1_0.02.log
27,mkl,256,64,0.02,-50,1.3,,0.6808,0.8123,0.808,0.8101,,0.7307,0.8618,0.8222,0.8401,,0.7184,0.8585,0.8074,0.8278,,0.4836,0.7353,0.5855,,0.6813,0.7627,0.8644,,0.8893,0.9214,0.9623,,3.84,5.77,7.57,0.9394,,,,,,,,,./results/res_mkl_256_64_-50.0_1.3_0.02.log
28,mkl,256,64,0.02,-42,0.75,,0.7297,0.8153,0.8742,0.8438,,0.7742,0.8667,0.8782,0.8697,,0.7713,0.8711,0.8725,0.8667,,0.66,0.8189,0.7728,,0.6848,0.7637,0.8689,,0.8462,0.8644,0.9756,,3.98,6.28,8.25,0.9345,,,,,,,,,./results/res_mkl_256_64_-42.0_0.75_0.02.log
29,mkl,256,64,0.02,-42,0.6,,0.7332,0.8031,0.8938,0.846,,0.7788,0.8566,0.8957,0.8725,,0.7787,0.8631,0.8910,0.8716,,0.6813,0.8201,0.8009,,0.6819,0.7408,0.8956,,0.8403,0.8549,0.98,,4.10,6.47,8.56,0.9334,,,,,,,,,./results/res_mkl_256_64_-42.0_0.6_0.02.log
30,mkl,256,64,0.02,-42,0.55,,0.7248,0.7925,0.8946,0.8405,,0.769,0.8454,0.8955,0.8664,,0.7700,0.8532,0.8906,0.8662,,0.6819,0.8186,0.8033,,0.6705,0.7274,0.8956,,0.8262,0.8403,0.98,,4.12,6.54,8.65,0.9327,,,,,,,,,./results/res_mkl_256_64_-42.0_0.55_0.02.log
31,mkl,256,64,0.02,-42,0.65,,0.733,0.8085,0.887,0.846,,0.7776,0.8619,0.8887,0.8719,,0.7759,0.8676,0.8831,0.8698,,0.6687,0.8191,0.7845,,0.6907,0.7528,0.8933,,0.8416,0.858,0.9778,,4.06,6.41,8.45,0.9321,,,,,,,,,./results/res_mkl_256_64_-42.0_0.65_0.02.log
32,mkl,256,64,0.02,-41,0.6,,0.731,0.8156,0.8758,0.8446,,0.7728,0.8651,0.8785,0.8691,,0.7718,0.8709,0.8742,0.8674,,0.6585,0.8329,0.7588,,0.6857,0.7548,0.8822,,0.85,0.865,0.98,,4.10,6.46,8.56,0.9355,,,,,,,,,./results/res_mkl_256_64_-41.0_0.6_0.02.log
33,mkl,256,64,0.02,-41,0.55,,0.7212,0.8028,0.8765,0.838,,0.7621,0.8524,0.8784,0.8623,,0.7624,0.8598,0.8738,0.8614,,0.6592,0.8312,0.7611,,0.6706,0.7365,0.8822,,0.8355,0.85,0.98,,4.12,6.53,8.65,0.9347,,,,,,,,,./results/res_mkl_256_64_-41.0_0.55_0.02.log
34,mkl,256,64,0.02,-43,0.6,,0.7294,0.7927,0.9014,0.8436,,0.7799,0.8482,0.9053,0.8726,,0.7802,0.8548,0.9002,0.8718,,0.6802,0.7977,0.822,,0.6756,0.7319,0.8978,,0.8387,0.8533,0.98,,4.10,6.46,8.53,0.9323,6.4246,1.2718,1.6425,1.1457,3.7617,8.8491,0.9704,,./results/res_mkl_256_64_-43_0.6_0.02.log
